population,short.description,year,group,total,total.low.CI,total.high.CI,male,male.low.CI,male.high.CI,female,female.low.CI,female.high.CI,estimated.number,estimated.number.low.CI,estimated.number.high.CI
adults,Physically active,2011,Total,54.4,51.8,56.9,57.3,54.6,59.9,51.7,48.7,54.7,1899000,1810000,1986000
adults,Physically active,2011,15-17,58.1,52.2,63.7,61.1,52.5,69,54.9,45.8,63.6,111000,1.00E+05,122000
adults,Physically active,2011,18-24,57.4,52.9,61.8,62.7,56.9,68.1,52.1,45.6,58.5,248000,229000,267000
adults,Physically active,2011,15-24,57.6,53.6,61.5,62.2,57.1,67,52.9,47.3,58.5,360000,334000,384000
adults,Physically active,2011,25-34,56,52.2,59.8,59.3,54.2,64.2,53,48,58,305000,284000,325000
adults,Physically active,2011,35-44,56.5,53,59.9,58.3,53.3,63.1,54.8,50.2,59.4,342000,321000,363000
adults,Physically active,2011,45-54,56.1,52.1,59.9,57.6,53,62.2,54.6,49.8,59.3,349000,324000,373000
adults,Physically active,2011,55-64,57.5,54.1,60.7,57.2,52.3,62,57.7,53,62.3,289000,272000,305000
adults,Physically active,2011,65-74,51,46.9,55,55.1,50.5,59.6,47.1,41.3,53,171000,157000,185000
adults,Physically active,2011,75+,32.6,28.1,37.4,38,31.9,44.5,28.6,23.7,34.1,84000,73000,97000
adults,Physically active,2011,Maori,57.5,54.1,60.9,61.2,56.6,65.6,54.2,50,58.4,254000,239000,268000
adults,Physically active,2011,Pacific,47.4,42.4,52.4,53.4,46.5,60.2,42.4,35.8,49.1,95000,85000,105000
adults,Physically active,2011,Asian,40,35.5,44.7,38.9,32.7,45.6,41,35.1,47.1,149000,132000,166000
adults,Physically active,2011,European/Other,56.3,53.4,59.2,59.4,56.5,62.3,53.3,49.9,56.7,1549000,1469000,1628000
adults,Physically active,2011,Quintile 1,60,54,65.8,61.7,55.4,67.7,58.2,50.9,65.2,433000,390000,475000
adults,Physically active,2011,Quintile 2,52.9,47.7,58,54.6,48.7,60.3,51.2,44.8,57.5,376000,340000,412000
adults,Physically active,2011,Quintile 3,56.8,52.2,61.4,60.1,54.8,65.2,53.8,48.1,59.4,4.00E+05,367000,432000
adults,Physically active,2011,Quintile 4,53.6,49.5,57.6,57.9,53,62.6,49.9,45,54.8,371000,343000,398000
adults,Physically active,2011,Quintile 5,48.1,44.4,51.8,51.1,46.5,55.7,45.6,41.1,50.2,318000,293000,343000
adults,Physically active,2012,Total,51.7,49,54.4,55.8,53.2,58.3,47.9,44.6,51.1,1820000,1725000,1915000
adults,Physically active,2012,15-17,52.7,45.4,59.8,63.3,53.4,72.1,41.4,32.2,51.1,98000,85000,111000
adults,Physically active,2012,18-24,54.9,50.2,59.6,61,54.7,66.9,48.8,42.6,54.9,242000,221000,262000
adults,Physically active,2012,15-24,54.3,50,58.4,61.7,56.3,66.8,46.6,41.3,52,340000,313000,366000
adults,Physically active,2012,25-34,53.2,49.3,56.9,58.8,54,63.4,47.9,42.8,53.1,291000,270000,311000
adults,Physically active,2012,35-44,52,48.2,55.7,56.4,51.4,61.3,47.9,43.5,52.4,310000,288000,332000
adults,Physically active,2012,45-54,54.6,51.1,58.1,55.9,51.9,59.9,53.4,48.7,58,341000,319000,362000
adults,Physically active,2012,55-64,53.1,48.9,57.4,55,50,60,51.3,46.1,56.5,271000,249000,293000
adults,Physically active,2012,65-74,47.9,42.9,52.8,50.3,44.8,55.8,45.5,39,52.2,169000,152000,187000
adults,Physically active,2012,75+,37.4,33.1,42,40.2,34.3,46.3,35.4,30.5,40.6,99000,87000,111000
adults,Physically active,2012,Maori,46.9,43.6,50.2,51.6,46.6,56.7,42.6,38.6,46.7,212000,197000,227000
adults,Physically active,2012,Pacific,46.7,41.3,52.1,56.4,49,63.6,38.2,31.3,45.7,91000,81000,102000
adults,Physically active,2012,Asian,44.7,39.6,49.9,50.2,44,56.4,38.8,32.1,45.9,172000,152000,191000
adults,Physically active,2012,European/Other,53.8,50.8,56.8,57.7,54.8,60.6,50.2,46.5,53.9,1454000,1372000,1536000
adults,Physically active,2012,Quintile 1,55.3,49,61.5,58.2,51.8,64.3,52.5,44.6,60.4,395000,350000,439000
